CustumerId,Speed,RPM,EngineLoad
131505,7,898,44
133384,7,898,44
131504,1,917,32
133424,1,917,32
131503,0,774,38
133468,0,774,38
131502,0,776,38
133495,0,776,38
133523,0,782,39
131501,0,782,39
133567,0,781,38
131583,0,781,38
131582,0,781,39
133593,0,781,39
131581,0,778,37
133628,0,778,37
133651,0,780,36
131580,0,780,36
131579,0,780,39
133697,0,780,39
133723,0,779,38
133757,0,774,35
133780,0,780,38
133850,0,776,39
133936,0,786,38
133902,0,786,38
133976,0,776,36
134012,0,783,36
134065,0,785,39
134324,0,785,39
134323,0,781,38
134322,0,781,38
134321,0,780,0
134320,0,777,37
134361,0,780,2
134398,0,781,2
134480,0,776,37
134589,0,780,37
134588,0,780,38
134587,0,0,38
134638,0,780,35
134682,0,780,38
134716,0,778,38
134767,0,777,37
134816,0,777,37
134854,0,783,37
134888,0,784,39
135020,0,778,37
135065,0,788,39
135104,0,781,36
135148,0,783,37
135184,0,777,36
135230,0,786,36
135251,0,781,38
135305,0,781,38
135329,0,782,34
135367,0,768,39
135417,7,946,86
135469,19,1747,0
135548,25,1783,43
135547,24,1654,1
135582,11,879,31
135612,6,964,36
135635,7,963,96
135675,15,1353,9
135790,24,1706,41
135738,24,1706,41
135830,25,1783,31
135829,26,1778,20
135909,22,1550,9
135936,12,843,38
135977,6,901,42
136024,0,840,38
136050,0,776,44
136096,0,776,44
136194,6,714,69
136180,6,714,69
136272,5,923,49
136271,8,939,38
136270,1,914,48
136440,2,886,70
136356,2,886,70
136451,2,886,70
136450,2,1396,55
136552,15,899,26
136551,12,830,40
136558,13,956,96
136584,13,956,96
136617,17,1240,72
136557,17,1240,72
136641,6,880,38
136687,0,882,49
136726,0,873,56
136751,1,895,58
136797,2,937,55
136803,2,937,55
136874,2,937,55
136893,4,890,71
136956,7,904,58
137003,7,904,58
137002,4,908,63
137001,5,953,58
137029,15,1859,42
137194,14,949,27
137183,14,949,27
137182,19,1327,59
137193,19,1327,59
137255,26,1806,15
137290,26,1806,15
137381,23,1175,0
137254,23,1175,0
137380,10,887,1
137387,6,893,35
137386,9,1095,81
137486,13,1536,15
137484,15,1244,72
137513,24,0,42
137512,27,1897,23
137564,31,1979,1
137597,29,1329,46
137632,33,1470,21
137684,32,1494,32
137721,37,1660,26
137760,34,1558,18
137827,32,1393,0
137880,29,1311,30
137924,29,1261,7
138016,30,1359,59
138105,30,1353,5
138202,30,1353,5
138201,27,1221,27
138200,26,1162,21
138257,25,1111,20
138285,25,1140,77
138505,34,1526,53
138364,34,1526,53
138504,32,1447,0
138573,27,1254,67
138569,27,1254,67
138644,36,1657,74
138568,36,1657,74
138643,51,2332,94
138678,56,1768,34
138717,44,1410,0
138772,34,1085,0
138790,19,926,27
138849,14,956,81
138889,13,962,97
138929,23,1634,72
138968,32,1537,2
139001,32,1385,9
139064,29,1299,22
139063,27,1219,52
139098,26,1146,27
139119,21,957,18
139207,24,1078,94
139190,24,1078,94
139257,27,1237,28
139275,27,1212,20
139298,29,1303,54
139338,34,1549,19
139355,43,1936,45
139384,43,1920,0
139413,37,875,28
139454,23,907,30
139509,18,916,30
139587,18,916,30
139586,12,914,33
139620,12,1039,96
139767,12,884,63
139656,12,884,63
139766,7,958,34
139835,3,891,58
139865,0,835,32
139864,0,774,41
139904,0,736,47
139951,2,0,0
139998,200,0,0
140056,0,1023,92
140110,16,2058,56
140187,17,1194,37
140227,19,1329,19
140250,23,1609,10
140291,19,1287,0
140336,22,1573,48
132445,22,1573,48
132444,21,1416,2
140382,21,1416,2
140436,16,1168,49
132443,16,1168,49
132442,20,1356,9
140474,20,1356,9
140525,10,910,31
132441,10,910,31
132487,20,1461,3
132486,22,1545,5
132485,15,1290,58
132484,20,1545,52
132483,14,930,14
132505,10,906,14
132539,5,875,51
132538,5,890,68
132537,5,930,68
132536,3,901,41
132535,0,901,45
140571,0,777,47
132572,0,777,47
132571,0,781,45
140623,0,781,45
140674,0,779,44
132570,0,779,44
132569,0,784,45
140765,0,784,45
140764,0,774,45
132568,0,774,45
140763,0,780,45
140812,0,780,45
140811,0,777,45
140810,0,778,45
140809,0,779,46
140808,0,777,45
140866,0,779,46
140936,0,779,46
132661,0,779,46
140904,0,779,46
140865,0,778,48
140903,0,778,48
140935,0,778,48
132660,0,778,48
140902,0,780,48
132659,0,780,48
140934,0,780,48
140864,0,780,48
140863,0,780,47
140933,0,780,47
132658,0,780,47
140901,0,780,47
132740,0,781,48
140862,0,781,48
140932,0,781,48
140900,0,781,48
132738,0,778,48
140980,0,778,48
140979,0,781,48
132737,0,781,48
132736,0,778,48
140978,0,778,48
140977,0,776,52
132735,0,776,52
132743,0,779,50
132742,0,777,50
132741,0,773,50
132739,0,777,52
132734,0,775,53
140976,0,782,51
141018,0,781,51
141017,0,783,52
141016,0,780,52
141015,0,782,50
141014,0,784,52
132777,0,778,51
132776,0,772,55
132775,9,1107,79
132770,14,1031,40
132797,20,1466,64
132796,31,1343,0
132795,36,1632,23
132794,35,1585,43
132793,39,1777,33
132814,41,1857,42
132813,40,1848,7
132812,36,1605,0
132811,32,1397,9
132810,33,1506,45
132830,41,1899,83
132829,47,2194,0
132828,50,2237,44
132827,34,1188,0
141050,12,884,64
132826,10,898,0
132847,12,884,64
141051,8,804,64
132849,8,804,64
141049,24,1639,64
132845,24,1639,64
132844,30,1980,64
141048,30,1980,64
141047,31,2196,26
132838,31,2196,26
141084,31,0,26
132874,31,0,26
132873,31,0,29
141083,31,0,29
132872,24,914,36
141082,24,914,36
141081,23,914,36
132871,23,914,36
141080,23,920,35
132870,23,920,35
132914,23,920,36
132913,23,1447,21
132912,19,882,82
132911,23,1646,65
132910,25,1756,16
132950,23,1604,5
132949,15,864,29
132948,8,904,37
132947,3,914,36
132942,1,915,36
132996,0,771,45
132995,0,776,48
132994,0,776,50
