CustumerId,Speed,RPM,EngineLoad,CLUSTER
131505,7,898,44,1
133384,7,898,44,1
131504,1,917,32,1
133424,1,917,32,1
131503,0,774,38,1
133468,0,774,38,1
131502,0,776,38,1
133495,0,776,38,1
133523,0,782,39,1
131501,0,782,39,1
133567,0,781,38,1
131583,0,781,38,1
131582,0,781,39,1
133593,0,781,39,1
131581,0,778,37,1
133628,0,778,37,1
133651,0,780,36,1
131580,0,780,36,1
131579,0,780,39,1
133697,0,780,39,1
133723,0,779,38,1
133757,0,774,35,1
133780,0,780,38,1
133850,0,776,39,1
133936,0,786,38,1
133902,0,786,38,1
133976,0,776,36,1
134012,0,783,36,1
134065,0,785,39,1
134324,0,785,39,1
134323,0,781,38,1
134322,0,781,38,1
134321,0,780,0,1
134320,0,777,37,1
134361,0,780,2,1
134398,0,781,2,1
134480,0,776,37,1
134589,0,780,37,1
134588,0,780,38,1
134587,0,0,38,2
134638,0,780,35,1
134682,0,780,38,1
134716,0,778,38,1
134767,0,777,37,1
134816,0,777,37,1
134854,0,783,37,1
134888,0,784,39,1
135020,0,778,37,1
135065,0,788,39,1
135104,0,781,36,1
135148,0,783,37,1
135184,0,777,36,1
135230,0,786,36,1
135251,0,781,38,1
135305,0,781,38,1
135329,0,782,34,1
135367,0,768,39,1
135417,7,946,86,1
135469,19,1747,0,0
135548,25,1783,43,0
135547,24,1654,1,5
135582,11,879,31,1
135612,6,964,36,1
135635,7,963,96,1
135675,15,1353,9,3
135790,24,1706,41,0
135738,24,1706,41,0
135830,25,1783,31,0
135829,26,1778,20,0
135909,22,1550,9,5
135936,12,843,38,1
135977,6,901,42,1
136024,0,840,38,1
136050,0,776,44,1
136096,0,776,44,1
136194,6,714,69,1
136180,6,714,69,1
136272,5,923,49,1
136271,8,939,38,1
136270,1,914,48,1
136440,2,886,70,1
136356,2,886,70,1
136451,2,886,70,1
136450,2,1396,55,3
136552,15,899,26,1
136551,12,830,40,1
136558,13,956,96,1
136584,13,956,96,1
136617,17,1240,72,3
136557,17,1240,72,3
136641,6,880,38,1
136687,0,882,49,1
136726,0,873,56,1
136751,1,895,58,1
136797,2,937,55,1
136803,2,937,55,1
136874,2,937,55,1
136893,4,890,71,1
136956,7,904,58,1
137003,7,904,58,1
137002,4,908,63,1
137001,5,953,58,1
137029,15,1859,42,0
137194,14,949,27,1
137183,14,949,27,1
137182,19,1327,59,3
137193,19,1327,59,3
137255,26,1806,15,0
137290,26,1806,15,0
137381,23,1175,0,3
137254,23,1175,0,3
137380,10,887,1,1
137387,6,893,35,1
137386,9,1095,81,3
137486,13,1536,15,5
137484,15,1244,72,3
137513,24,0,42,2
137512,27,1897,23,0
137564,31,1979,1,0
137597,29,1329,46,3
137632,33,1470,21,5
137684,32,1494,32,5
137721,37,1660,26,5
137760,34,1558,18,5
137827,32,1393,0,3
137880,29,1311,30,3
137924,29,1261,7,3
138016,30,1359,59,3
138105,30,1353,5,3
138202,30,1353,5,3
138201,27,1221,27,3
138200,26,1162,21,3
138257,25,1111,20,3
138285,25,1140,77,3
138505,34,1526,53,5
138364,34,1526,53,5
138504,32,1447,0,5
138573,27,1254,67,3
138569,27,1254,67,3
138644,36,1657,74,5
138568,36,1657,74,5
138643,51,2332,94,4
138678,56,1768,34,0
138717,44,1410,0,5
138772,34,1085,0,3
138790,19,926,27,1
138849,14,956,81,1
138889,13,962,97,1
138929,23,1634,72,5
138968,32,1537,2,5
139001,32,1385,9,3
139064,29,1299,22,3
139063,27,1219,52,3
139098,26,1146,27,3
139119,21,957,18,1
139207,24,1078,94,3
139190,24,1078,94,3
139257,27,1237,28,3
139275,27,1212,20,3
139298,29,1303,54,3
139338,34,1549,19,5
139355,43,1936,45,0
139384,43,1920,0,0
139413,37,875,28,1
139454,23,907,30,1
139509,18,916,30,1
139587,18,916,30,1
139586,12,914,33,1
139620,12,1039,96,1
139767,12,884,63,1
139656,12,884,63,1
139766,7,958,34,1
139835,3,891,58,1
139865,0,835,32,1
139864,0,774,41,1
139904,0,736,47,1
139951,2,0,0,2
139998,200,0,0,2
140056,0,1023,92,1
140110,16,2058,56,4
140187,17,1194,37,3
140227,19,1329,19,3
140250,23,1609,10,5
140291,19,1287,0,3
140336,22,1573,48,5
132445,22,1573,48,5
132444,21,1416,2,5
140382,21,1416,2,5
140436,16,1168,49,3
132443,16,1168,49,3
132442,20,1356,9,3
140474,20,1356,9,3
140525,10,910,31,1
132441,10,910,31,1
132487,20,1461,3,5
132486,22,1545,5,5
132485,15,1290,58,3
132484,20,1545,52,5
132483,14,930,14,1
132505,10,906,14,1
132539,5,875,51,1
132538,5,890,68,1
132537,5,930,68,1
132536,3,901,41,1
132535,0,901,45,1
140571,0,777,47,1
132572,0,777,47,1
132571,0,781,45,1
140623,0,781,45,1
140674,0,779,44,1
132570,0,779,44,1
132569,0,784,45,1
140765,0,784,45,1
140764,0,774,45,1
132568,0,774,45,1
140763,0,780,45,1
140812,0,780,45,1
140811,0,777,45,1
140810,0,778,45,1
140809,0,779,46,1
140808,0,777,45,1
140866,0,779,46,1
140936,0,779,46,1
132661,0,779,46,1
140904,0,779,46,1
140865,0,778,48,1
140903,0,778,48,1
140935,0,778,48,1
132660,0,778,48,1
140902,0,780,48,1
132659,0,780,48,1
140934,0,780,48,1
140864,0,780,48,1
140863,0,780,47,1
140933,0,780,47,1
132658,0,780,47,1
140901,0,780,47,1
132740,0,781,48,1
140862,0,781,48,1
140932,0,781,48,1
140900,0,781,48,1
132738,0,778,48,1
140980,0,778,48,1
140979,0,781,48,1
132737,0,781,48,1
132736,0,778,48,1
140978,0,778,48,1
140977,0,776,52,1
132735,0,776,52,1
132743,0,779,50,1
132742,0,777,50,1
132741,0,773,50,1
132739,0,777,52,1
132734,0,775,53,1
140976,0,782,51,1
141018,0,781,51,1
141017,0,783,52,1
141016,0,780,52,1
141015,0,782,50,1
141014,0,784,52,1
132777,0,778,51,1
132776,0,772,55,1
132775,9,1107,79,3
132770,14,1031,40,1
132797,20,1466,64,5
132796,31,1343,0,3
132795,36,1632,23,5
132794,35,1585,43,5
132793,39,1777,33,0
132814,41,1857,42,0
132813,40,1848,7,0
132812,36,1605,0,5
132811,32,1397,9,3
132810,33,1506,45,5
132830,41,1899,83,0
132829,47,2194,0,4
132828,50,2237,44,4
132827,34,1188,0,3
141050,12,884,64,1
132826,10,898,0,1
132847,12,884,64,1
141051,8,804,64,1
132849,8,804,64,1
141049,24,1639,64,5
132845,24,1639,64,5
132844,30,1980,64,0
141048,30,1980,64,0
141047,31,2196,26,4
132838,31,2196,26,4
141084,31,0,26,2
132874,31,0,26,2
132873,31,0,29,2
141083,31,0,29,2
132872,24,914,36,1
141082,24,914,36,1
141081,23,914,36,1
132871,23,914,36,1
141080,23,920,35,1
132870,23,920,35,1
132914,23,920,36,1
132913,23,1447,21,5
132912,19,882,82,1
132911,23,1646,65,5
132910,25,1756,16,0
132950,23,1604,5,5
132949,15,864,29,1
132948,8,904,37,1
132947,3,914,36,1
132942,1,915,36,1
132996,0,771,45,1
132995,0,776,48,1
132994,0,776,50,1
132993,0,777,50,1
132990,0,778,50,1
133024,0,781,49,1
133023,0,782,50,1
133022,0,779,50,1
133021,0,783,50,1
133020,0,1008,74,1
141117,2,841,58,1
133049,2,841,58,1
133048,4,925,36,1
141116,4,925,36,1
141115,0,765,49,1
133047,0,765,49,1
141114,0,774,51,1
133046,0,774,51,1
133045,0,780,50,1
141113,0,780,50,1
141155,0,779,50,1
141154,0,782,50,1
141153,0,780,50,1
141152,0,782,50,1
141148,0,781,51,1
141192,0,781,50,1
133130,2,1387,29,3
141190,2,1387,29,3
141188,10,846,36,1
133129,10,846,36,1
133128,7,870,34,1
141187,7,870,34,1
141186,11,1357,38,3
133127,11,1357,38,3
133169,14,1807,7,0
133168,6,840,34,1
133167,1,900,35,1
133166,0,735,56,1
133162,2,900,61,1
133214,7,898,36,1
133213,2,914,35,1
133212,0,750,53,1
133211,2,934,0,1
133210,0,910,34,1
141221,0,744,31,1
141220,0,775,49,1
141219,0,778,50,1
141218,0,778,59,1
141214,4,923,53,1
141254,8,896,32,1
141286,8,896,32,1
133282,6,896,38,1
133281,0,0,35,2
133280,0,754,51,1
133279,0,754,49,1
133278,0,927,67,1
133275,0,1022,15,1
133300,8,1018,59,1
133299,9,907,23,1
133298,7,921,32,1
133323,6,928,34,1
133322,4,918,37,1
133321,3,862,63,1
133320,7,966,28,1
133319,10,1265,5,3
133358,8,1003,16,1
133357,7,917,30,1
133356,2,912,34,1
133355,0,903,34,1
133354,0,764,50,1
133389,2,913,56,1
133388,4,921,27,1
133387,1,913,36,1
133386,0,767,44,1
133385,0,776,48,1
133429,0,781,49,1
133428,2,926,51,1
133427,3,901,35,1
133426,2,914,37,1
133425,0,849,35,1
133473,0,710,68,1
133472,6,914,35,1
133471,1,916,36,1
133470,0,865,34,1
133469,0,777,49,1
133500,0,781,49,1
133499,0,781,48,1
133498,0,780,48,1
133497,0,778,48,1
133496,0,778,49,1
133528,0,779,48,1
133527,0,778,49,1
133526,1,888,65,1
133525,8,979,32,1
133524,6,913,36,1
133572,1,919,35,1
133571,2,902,46,1
133570,3,911,43,1
133569,3,931,34,1
133568,0,818,36,1
133598,0,770,49,1
133597,0,750,49,1
133596,2,943,49,1
133595,2,911,49,1
133594,0,754,40,1
133633,0,771,47,1
133632,1,743,71,1
133631,11,743,12,1
133630,12,0,31,2
133629,0,1554,18,5
133656,12,1552,16,5
133655,12,1552,15,5
133654,12,1392,11,3
133653,11,1404,16,5
133652,11,1094,1,3
133708,4,894,30,1
133707,1,893,35,1
133706,3,946,42,1
133704,1,919,34,1
133698,0,751,49,1
133728,0,778,47,1
133727,0,778,47,1
133726,0,780,47,1
133725,0,779,47,1
133724,0,780,49,1
133762,0,780,49,1
133761,0,781,49,1
133760,0,768,56,1
133759,3,951,55,1
133758,2,907,37,1
133786,1,846,70,1
133784,5,919,29,1
133783,2,890,52,1
133782,5,917,37,1
133781,1,918,36,1
133855,0,786,42,1
133854,0,832,57,1
133853,1,871,34,1
133852,1,909,36,1
133851,0,830,27,1
141253,0,769,49,1
133914,0,769,49,1
141285,0,769,49,1
141252,0,779,49,1
141284,0,779,49,1
133913,0,779,49,1
141251,0,779,49,1
141283,0,779,49,1
133909,0,779,49,1
133906,2,917,56,1
141282,2,917,56,1
141250,2,917,56,1
133904,3,892,47,1
141354,3,892,47,1
133941,1,927,36,1
133940,0,749,50,1
133939,0,775,50,1
133938,0,779,49,1
133937,1,894,92,1
133981,7,936,14,1
133980,7,913,43,1
133979,11,1434,42,5
133978,14,1649,3,5
133977,3,888,0,1
134020,3,876,37,1
134019,3,928,43,1
134018,1,1207,57,3
134017,5,888,45,1
134013,5,870,51,1
134070,7,898,32,1
141353,7,898,32,1
141352,8,1344,60,3
134069,8,1344,60,3
134068,5,881,30,1
141351,5,881,30,1
134067,6,815,98,1
141370,6,815,98,1
141369,6,3,23,2
134066,6,3,23,2
141368,6,1511,10,5
141367,6,988,9,1
141366,13,934,51,1
141393,13,890,46,1
141391,7,903,38,1
141390,6,966,40,1
141389,1,908,35,1
141388,0,751,49,1
141426,0,778,47,1
141425,0,781,46,1
141424,0,779,46,1
141423,0,781,46,1
141422,0,778,46,1
141454,0,778,46,1
141453,0,779,46,1
141452,0,777,48,1
141451,0,781,47,1
141450,0,778,47,1
141486,0,779,49,1
141484,0,782,48,1
141482,0,778,48,1
141480,0,781,48,1
