CustumerId,Speed,RPM,EngineLoad,Gear ratios,CLUSTER
131505,7,898,44,128.2857142857143,5
133384,7,898,44,128.2857142857143,5
131504,1,917,32,917.0,1
133424,1,917,32,917.0,1
135417,7,946,86,135.14285714285714,5
135469,19,1747,0,91.94736842105263,0
135548,25,1783,43,71.32,0
135547,24,1654,1,68.91666666666666,0
135582,11,879,31,79.9090909090909,0
135612,6,964,36,160.66666666666666,5
135635,7,963,96,137.57142857142856,5
135675,15,1353,9,90.2,0
135790,24,1706,41,71.08333333333334,0
135738,24,1706,41,71.08333333333334,0
135830,25,1783,31,71.32,0
135829,26,1778,20,68.38461538461539,0
135909,22,1550,9,70.45454545454545,0
135936,12,843,38,70.25,0
135977,6,901,42,150.16666666666669,5
136194,6,714,69,119.0,5
136180,6,714,69,119.0,5
136272,5,923,49,184.6,5
136271,8,939,38,117.37499999999999,5
136270,1,914,48,914.0,1
136440,2,886,70,442.99999999999994,4
136356,2,886,70,442.99999999999994,4
136451,2,886,70,442.99999999999994,4
136450,2,1396,55,698.0,1
136552,15,899,26,59.93333333333334,0
136551,12,830,40,69.16666666666666,0
136558,13,956,96,73.53846153846153,0
136584,13,956,96,73.53846153846153,0
136617,17,1240,72,72.94117647058825,0
136557,17,1240,72,72.94117647058825,0
136641,6,880,38,146.66666666666666,5
136751,1,895,58,895.0,1
136797,2,937,55,468.49999999999994,4
136803,2,937,55,468.49999999999994,4
136874,2,937,55,468.49999999999994,4
136893,4,890,71,222.5,2
136956,7,904,58,129.14285714285714,5
137003,7,904,58,129.14285714285714,5
137002,4,908,63,227.0,2
137001,5,953,58,190.6,5
137029,15,1859,42,123.93333333333334,5
137194,14,949,27,67.78571428571429,0
137183,14,949,27,67.78571428571429,0
137182,19,1327,59,69.8421052631579,0
137193,19,1327,59,69.8421052631579,0
137255,26,1806,15,69.46153846153847,0
137290,26,1806,15,69.46153846153847,0
137381,23,1175,0,51.08695652173913,3
137254,23,1175,0,51.08695652173913,3
137380,10,887,1,88.7,0
137387,6,893,35,148.83333333333334,5
137386,9,1095,81,121.66666666666667,5
137486,13,1536,15,118.15384615384615,5
137484,15,1244,72,82.93333333333334,0
137513,24,0,42,0.0,3
137512,27,1897,23,70.25925925925927,0
137564,31,1979,1,63.83870967741936,0
137597,29,1329,46,45.827586206896555,3
137632,33,1470,21,44.54545454545455,3
137684,32,1494,32,46.6875,3
137721,37,1660,26,44.86486486486487,3
137760,34,1558,18,45.8235294117647,3
137827,32,1393,0,43.53125,3
137880,29,1311,30,45.20689655172414,3
137924,29,1261,7,43.48275862068966,3
138016,30,1359,59,45.300000000000004,3
138105,30,1353,5,45.1,3
138202,30,1353,5,45.1,3
138201,27,1221,27,45.22222222222222,3
138200,26,1162,21,44.69230769230769,3
138257,25,1111,20,44.44,3
138285,25,1140,77,45.6,3
138505,34,1526,53,44.88235294117647,3
138364,34,1526,53,44.88235294117647,3
138504,32,1447,0,45.21875,3
138573,27,1254,67,46.44444444444445,3
138569,27,1254,67,46.44444444444445,3
138644,36,1657,74,46.02777777777778,3
138568,36,1657,74,46.02777777777778,3
138643,51,2332,94,45.72549019607843,3
138678,56,1768,34,31.57142857142857,3
138717,44,1410,0,32.04545454545454,3
138772,34,1085,0,31.91176470588235,3
138790,19,926,27,48.73684210526316,3
138849,14,956,81,68.28571428571428,0
138889,13,962,97,74.0,0
138929,23,1634,72,71.04347826086956,0
138968,32,1537,2,48.03125,3
139001,32,1385,9,43.28125000000001,3
139064,29,1299,22,44.793103448275865,3
139063,27,1219,52,45.148148148148145,3
139098,26,1146,27,44.07692307692308,3
139119,21,957,18,45.57142857142858,3
139207,24,1078,94,44.916666666666664,3
139190,24,1078,94,44.916666666666664,3
139257,27,1237,28,45.814814814814824,3
139275,27,1212,20,44.88888888888889,3
139298,29,1303,54,44.93103448275862,3
139338,34,1549,19,45.55882352941177,3
139355,43,1936,45,45.02325581395349,3
139384,43,1920,0,44.651162790697676,3
139413,37,875,28,23.64864864864865,3
139454,23,907,30,39.43478260869565,3
139509,18,916,30,50.888888888888886,3
139587,18,916,30,50.888888888888886,3
139586,12,914,33,76.16666666666667,0
139620,12,1039,96,86.58333333333334,0
